author,shortname,name,is-language-server,checkout
altercation,solarized,vim-colors-solarized,0,528a59f
andlrc,rpgle,rpgle.vim,0,b1394c8
coc-extensions,powershell,coc-powershell,1,3b9063f
coc-extensions,svelte,coc-svelte,1,7dda985
fannheyward,rust-analyzer,coc-rust-analyzer,1,d968918
fannheyward,latex,coc-texlab,1,36ffcf0
junegunn,fzf,fzf,0,2093667
josa42,bash,coc-sh,1,v0.7.0
kristijanhusak,dadbod-completion,vim-dadbod-completion,1,339667d
kristijanhusak,dadbod-ui,vim-dadbod-ui,0,7bd114b
liuchenxu,graphviz,graphviz.vim,0,12b04c5
neoclide,coc,coc.nvim,1,v0.0.81
neoclide,vimscript,coc-neco,1,fe130c2
neoclide,typescript,coc-tsserver,1,1.11.12
neoclide,css,coc-css,1,2.0.0
neoclide,html,coc-html,1,1.8.0
neoclide,json,coc-json,1,1.8.0
pangloss,javascript,vim-javascript,0,d6e1375
pappasam,python,coc-jedi,1,v0.34.0
qpkorr,bufkill,vim-bufkill,0,3113181d
rstacruz,coc-settings,vim-coc-settings,0,c4d1bd1
sheerun,polyglot,vim-polyglot,0,38282d58
Shougo,neco-vim,neco-vim,0,7fb5b63
tpope,dadbod,vim-dadbod,0,136d82e
tpope,fugitive,vim-fugitive,0,9fadd7a
tpope,repeat,vim-repeat,0,9fadd7a
tpope,surround,vim-surround,0,bf3480d
tpope,vinegar,vim-vinegar,0,bb1bcdd
vim-airline,airline,vim-airline,0,97a9aa4
vim-airline-themes,airline-themes,vim-airline-themes,0,97cf3e6
vim-scripts,parse-json,ParseJSON,0,ad03fa5
voldikss,floaterm,vim-floaterm,0,e3f2d94
wannesm,wmgraphviz,wmgraphviz.vim,0,f08ff5b
