author,name,is-language-server,checkout,notes
altercation,vim-colors-solarized,0,528a59f,
andlrc,rpgle.vim,0,b1394c8,
coc-extensions,coc-powershell,1,3b9063f,
coc-extensions,coc-svelte,1,7dda985,
fannheyward,coc-rust-analyzer,1,d968918,
fannheyward,coc-texlab,1,36ffcf0,
junegunn,fzf,0,2093667,
josa42,coc-sh,1,v0.7.0,
kristijanhusak,vim-dadbod-completion,1,339667d,
liuchenxu,graphviz.vim,0,12b04c5,
neoclide,coc.nvim,1,v0.0.82,
neoclide,coc-neco,1,fe130c2,
neoclide,coc-tsserver,1,1.11.12,
neoclide,coc-css,1,2.0.0,
neoclide,coc-html,1,1.8.0,
neoclide,coc-json,1,1.8.0,
neoclide,coc-java,1,6a83864,requires_jdt-ls_v0.57.0
pangloss,vim-javascript,0,d6e1375,
pappasam,coc-jedi,1,v0.34.0,
rstacruz,vim-coc-settings,0,c4d1bd1,
sheerun,vim-polyglot,0,38282d58,
Shougo,neco-vim,0,7fb5b63,
tpope,vim-dadbod,0,136d82e,
tpope,vim-fugitive,0,9fadd7a,
tpope,vim-repeat,0,9fadd7a,
tpope,vim-surround,0,bf3480d,
tpope,vim-vinegar,0,bb1bcdd,
vim-airline,vim-airline,0,97a9aa4,
vim-airline-themes,vim-airline-themes,0,97cf3e6,
vim-scripts,ParseJSON,0,ad03fa5,
wannesm,wmgraphviz.vim,0,f08ff5b,
